V_(V)	I_(A)
0.001	9.9999999817984069
0.002	9.9999999635962826
0.0030000000000000001	9.9999999453936255
0.0040000000000000001	9.9999999271904372
0.0050000000000000001	9.999999908986716
0.0060000000000000001	9.9999998907824619
0.0070000000000000001	9.9999998725776749
0.0080000000000000002	9.9999998543723549
0.0090000000000000011	9.9999998361665021
0.010000000000000002	9.9999998179601164
0.011000000000000003	9.9999997997531977
0.012000000000000004	9.9999997815457426
0.013000000000000005	9.9999997633377564
0.014000000000000005	9.9999997451292355
0.015000000000000006	9.9999997269201817
0.016000000000000007	9.9999997087105896
0.017000000000000008	9.9999996905004664
0.018000000000000009	9.9999996722898068
0.01900000000000001	9.9999996540786142
0.020000000000000011	9.9999996358668852
0.021000000000000012	9.9999996176546198
0.022000000000000013	9.9999995994418196
0.023000000000000013	9.9999995812284848
0.024000000000000014	9.9999995630146135
0.025000000000000015	9.9999995448002039
0.026000000000000016	9.9999995265852597
0.027000000000000017	9.999999508369779
0.028000000000000018	9.9999994901537637
0.029000000000000019	9.9999994719372101
0.03000000000000002	9.9999994537201164
0.031000000000000021	9.9999994355024899
0.032000000000000021	9.9999994172843234
0.033000000000000022	9.9999993990656222
0.034000000000000023	9.9999993808463792
0.035000000000000024	9.9999993626266015
0.036000000000000025	9.9999993444062838
0.037000000000000026	9.9999993261854296
0.038000000000000027	9.9999993079640337
0.039000000000000028	9.9999992897421013
0.040000000000000029	9.9999992715196306
0.041000000000000029	9.9999992532966218
0.04200000000000003	9.9999992350730711
0.043000000000000031	9.9999992168489822
0.044000000000000032	9.9999991986243533
0.045000000000000033	9.9999991803991843
0.046000000000000034	9.9999991621734772
0.047000000000000035	9.9999991439472264
0.048000000000000036	9.9999991257204375
0.049000000000000037	9.9999991074931085
0.050000000000000037	9.9999990892652395
0.051000000000000038	9.9999990710368287
0.052000000000000039	9.9999990528078744
0.05300000000000004	9.9999990345783818
0.054000000000000041	9.9999990163483456
0.055000000000000042	9.9999989981177695
0.056000000000000043	9.9999989798866498
0.057000000000000044	9.9999989616549882
0.058000000000000045	9.9999989434227867
0.059000000000000045	9.9999989251900416
0.060000000000000046	9.999998906956753
0.061000000000000047	9.9999988887229208
0.062000000000000048	9.9999988704885467
0.063000000000000042	9.9999988522536309
0.064000000000000043	9.9999988340181716
0.065000000000000044	9.9999988157821651
0.066000000000000045	9.9999987975456186
0.067000000000000046	9.9999987793085268
0.068000000000000047	9.9999987610708914
0.069000000000000047	9.9999987428327106
0.070000000000000048	9.9999987245939845
0.071000000000000049	9.9999987063547167
0.07200000000000005	9.9999986881149017
0.073000000000000051	9.9999986698745431
0.074000000000000052	9.9999986516336374
0.075000000000000053	9.9999986333921882
0.076000000000000054	9.9999986151501918
0.077000000000000055	9.9999985969076519
0.078000000000000055	9.9999985786645649
0.079000000000000056	9.9999985604209289
0.080000000000000057	9.9999985421767494
0.081000000000000058	9.9999985239320228
0.082000000000000059	9.9999985056867491
0.08300000000000006	9.9999984874409282
0.084000000000000061	9.9999984691945603
0.085000000000000062	9.9999984509476452
0.086000000000000063	9.9999984327001847
0.087000000000000063	9.9999984144521736
0.088000000000000064	9.9999983962036154
0.089000000000000065	9.9999983779545083
0.090000000000000066	9.9999983597048541
0.091000000000000067	9.9999983414546527
0.092000000000000068	9.9999983232038989
0.093000000000000069	9.999998304952598
0.09400000000000007	9.99999828670075
0.09500000000000007	9.9999982684483513
0.096000000000000071	9.9999982501954037
0.097000000000000072	9.9999982319419036
0.098000000000000073	9.9999982136878565
0.099000000000000074	9.9999981954332604
0.10000000000000007	9.9999981771781119
0.10100000000000008	9.9999981589224127
0.10200000000000008	9.9999981406661647
0.10300000000000008	9.9999981224093641
0.10400000000000008	9.9999981041520147
0.10500000000000008	9.9999980858941129
0.10600000000000008	9.9999980676356586
0.10700000000000008	9.9999980493766554
0.10800000000000008	9.999998031117098
0.10900000000000008	9.9999980128569916
0.11000000000000008	9.9999979945963293
0.11100000000000008	9.9999979763351163
0.11200000000000009	9.9999979580733527
0.11300000000000009	9.9999979398110348
0.11400000000000009	9.9999979215481627
0.11500000000000009	9.9999979032847399
0.11600000000000009	9.9999978850207629
0.11700000000000009	9.9999978667562335
0.11800000000000009	9.9999978484911498
0.11900000000000009	9.9999978302255101
0.12000000000000009	9.999997811959318
0.12100000000000009	9.9999977936925735
0.12200000000000009	9.9999977754252729
0.1230000000000001	9.9999977571574163
0.1240000000000001	9.9999977388890073
0.12500000000000008	9.9999977206200423
0.12600000000000008	9.9999977023505231
0.12700000000000009	9.9999976840804479
0.12800000000000009	9.9999976658098149
0.12900000000000009	9.9999976475386294
0.13000000000000009	9.999997629266888
0.13100000000000009	9.9999976109945887
0.13200000000000009	9.9999975927217317
0.13300000000000009	9.9999975744483205
0.13400000000000009	9.9999975561743533
0.13500000000000009	9.9999975378998283
0.13600000000000009	9.9999975196247473
0.13700000000000009	9.9999975013491049
0.13800000000000009	9.9999974830729084
0.1390000000000001	9.999997464796154
0.1400000000000001	9.9999974465188419
0.1410000000000001	9.9999974282409703
0.1420000000000001	9.9999974099625408
0.1430000000000001	9.9999973916835536
0.1440000000000001	9.9999973734040086
0.1450000000000001	9.9999973551239041
0.1460000000000001	9.9999973368432382
0.1470000000000001	9.9999973185620163
0.1480000000000001	9.9999973002802331
0.1490000000000001	9.9999972819978922
0.15000000000000011	9.9999972637149881
0.15100000000000011	9.999997245431528
0.15200000000000011	9.9999972271475048
0.15300000000000011	9.9999972088629239
0.15400000000000011	9.9999971905777798
0.15500000000000011	9.9999971722920744
